Mate,NAME,Pos.#,Barcode,Length,Width,Thickness,Length2,Width2,Thickness2,Top,Bottom,Edge 1,Edge 2,Edge 3,Edge 4,Qty
CC_HDH_6_8134_OS_ANY_CL,Back Panel,01.26Y130T3F14B1_1006,01.26Y130T3F14B1_1006,2059,432,6,2059,432,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,02.26Y130T3F14B1_1202,02.26Y130T3F14B1_1202,702,482,6,702,482,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,03.26Y130T3F14B1_1213,03.26Y130T3F14B1_1213,702,582,6,702,582,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,04.26Y130T3F14B1_1228,04.26Y130T3F14B1_1228,702,582,6,702,582,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,05.26Y130T3F14B1_1067,05.26Y130T3F14B1_1067,702,1127,6,702,1127,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,07.26Y130T3F14B1_1248,07.26Y130T3F14B1_1248,686,932,6,686,932,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,10.26Y130T3F14B1_1120,10.26Y130T3F14B1_1120,701.8,572,6,701.8,572,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,9.26Y130T3F14B1_1113,9.26Y130T3F14B1_1113,701.8,472,6,701.8,472,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,12.26Y130T3F14B1_1134,12.26Y130T3F14B1_1134,701.8,677,6,701.8,677,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,11.26Y130T3F14B1_1127,11.26Y130T3F14B1_1127,701.8,432,6,701.8,432,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,17.26Y130T3F14B1_1260,17.26Y130T3F14B1_1260,1082,482,6,1082,482,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,19.26Y130T3F14B1_1269,19.26Y130T3F14B1_1269,1082,432,6,1082,432,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,14.26Y130T3F14B1_1151,14.26Y130T3F14B1_1151,701.8,282,6,701.8,282,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH_6_8134_OS_ANY_CL,Back Panel,15.26Y130T3F14B1_1144,15.26Y130T3F14B1_1144,701.8,882,6,701.8,882,0.1,CB_Any_Colour,CB_8134_FABRIC_WHT_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
CC_HDH17_8134_OS_ANY_CL_OC,Drawer Back,03.26Y130T3F14B1_1219,03.26Y130T3F14B1_1219,479.8,150,17,478.6,149.6,0.1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,PRF_00,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
CC_HDH17_8134_OS_ANY_CL_OC,Drawer Back,03.26Y130T3F14B1_1222,03.26Y130T3F14B1_1222,479.8,84,17,478.6,83.6,0.1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,PRF_00,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
