Mate,NAME,Pos.#,Barcode,Length,Width,Thickness,Length2,Width2,Thickness2,Top,Bottom,Edge 1,Edge 2,Edge 3,Edge 4,Qty
GP_HDH_36_5900_BS,Int LS Filler 36mm,02.26Y125T4F6A2_1076,02.26Y125T4F6A2_1076,150,470,36,148.8,468.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int RS Filler 36 mm,02.26Y125T4F6A2_1079,02.26Y125T4F6A2_1079,150,470,36,148.8,468.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_6_5900_BS,Drawer Bottom,02.26Y125T4F6A2_1090,02.26Y125T4F6A2_1090,478.5,421,6,478.5,421,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH_6_5900_BS,Drawer Bottom,02.26Y125T4F6A2_1085,02.26Y125T4F6A2_1085,478.5,421,6,478.5,421,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH17_5900_BS,Drawer Front,02.26Y125T4F6A2_1077,02.26Y125T4F6A2_1077,146,531.5,17,144.8,530.3,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Front,02.26Y125T4F6A2_1080,02.26Y125T4F6A2_1080,146,531.5,17,144.8,530.3,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,02.26Y125T4F6A2_1086,02.26Y125T4F6A2_1086,468.5,80,17,467.3,79.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,02.26Y125T4F6A2_1087,02.26Y125T4F6A2_1087,450,110,17,448.8,108.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,02.26Y125T4F6A2_1088,02.26Y125T4F6A2_1088,468.5,110,17,467.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,02.26Y125T4F6A2_1089,02.26Y125T4F6A2_1089,450,110,17,448.8,108.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
