Project Name,Pos. barcode,Barcode,Part Name,Cutting Length,Cutting Width,Qty,Lenght,Width,Panel Thickness,Material Name,Face Material 1,Face Material 2,Core material,Edge 1,Edge 2,Edge 3,Edge 4,Grain
Godrej Meridien (2401),02.26Y125T4F24A1_1007,26Y125T4F24A1_1007,Door Left,1947.8,411.8,1,1949,413,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),02.26Y125T4F24A1_1006,26Y125T4F24A1_1006,Door Right,1947.8,411.8,1,1949,413,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),04.26Y125T4F24A1_1058,26Y125T4F24A1_1058,Filler On Set,1947.8,615.8,1,1949,617,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),04.26Y125T4F24A1_1059,26Y125T4F24A1_1059,Door Left,1947.8,371.8,1,1949,373,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),01.26Y125T4F24A1_1051,26Y125T4F24A1_1051,Filler On Set,2047.8,96.8,1,2049,98,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),03.26Y125T4F24A1_1052,26Y125T4F24A1_1052,Filler On Set,2047.8,96.8,1,2049,98,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),06.26Y125T4F24A1_1053,26Y125T4F24A1_1053,Filler On Set,2047.8,73.8,1,2049,75,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),05.26Y125T4F24A1_1021,26Y125T4F24A1_1021,Door Right,1947.8,371.8,1,1949,373,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),08.26Y125T4F24A1_1047,26Y125T4F24A1_1047,Filler On Set,97.8,996.8,1,99,998,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),07.26Y125T4F24A1_1054,26Y125T4F24A1_1054,Filler On Set,97.8,1026.8,1,99,1028,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),20.26Y125T4F24A1_1069,26Y125T4F24A1_1069,Base Filler,1367.8,98.8,1,1369,100,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),11.26Y125T4F24A1_1067,26Y125T4F24A1_1067,Base Filler,828.8,98.8,1,830,100,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),23.26Y125T4F24A1_1070,26Y125T4F24A1_1070,Base Filler,1367.8,98.8,1,1369,100,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2401),02.26Y125T4F24A1_1001,26Y125T4F24A1_1001,Right Side,1948.8,558.8,1,1950,560,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2401),02.26Y125T4F24A1_1002,26Y125T4F24A1_1002,Left Side,1948.8,558.8,1,1950,560,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
