Project Name,Pos. barcode,Barcode,Part Name,Cutting Length,Cutting Width,Qty,Lenght,Width,Panel Thickness,Material Name,Face Material 1,Face Material 2,Core material,Edge 1,Edge 2,Edge 3,Edge 4,Grain
PARAS (1402),01.26Y130T3F14B1_1001,26Y130T3F14B1_1001,Right Side,2073.4,534.9,1,2077,538.5,17,CP_MDF17_8161_OS_8134,CB_8134_FABRIC_WHT_MAT,CB_8161_MATT,MDF,E3_8161_2mm,E3_8161_2mm,E3_8161_2mm,E3_8161_2mm,1
PARAS (1402),01.26Y130T3F14B1_1003,26Y130T3F14B1_1003,Bottom Shelf,414.8,557.6,1,416,560,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,E3_8161_2mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),01.26Y130T3F14B1_1005,26Y130T3F14B1_1005,Fixed Shelf,414.8,538.8,1,416,540,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),02.26Y130T3F14B1_1197,26Y130T3F14B1_1197,Right Side,718.8,558.8,1,720,560,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,RE_75701_HG_1mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),02.26Y130T3F14B1_1199,26Y130T3F14B1_1199,Bottom Shelf,464.8,558.8,1,466,560,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,RE_75701_HG_1mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),04.26Y130T3F14B1_1223,26Y130T3F14B1_1223,Right Side,718.8,558.8,1,720,560,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,RE_75701_HG_1mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),03.26Y130T3F14B1_1208,26Y130T3F14B1_1208,Right Side,718.8,558.8,1,720,560,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,RE_75701_HG_1mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),03.26Y130T3F14B1_1210,26Y130T3F14B1_1210,Bottom Shelf,564.8,558.8,1,566,560,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,RE_75701_HG_1mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),15.26Y130T3F14B1_1138,26Y130T3F14B1_1138,Right Side,718.8,327.6,1,720,330,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_Any_Colour,HDHMR,E3_8161_2mm,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
PARAS (1402),03.26Y130T3F14B1_1218,26Y130T3F14B1_1218,Drawer Bottom,492.2,476.4,1,491.7999878,476,17,CC_HDH17_8134_OS_ANY_CL,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,PRF_00,PRF_00,PRF_00,PRF_00,0
